,toxicity_score,category_encoded,health_impact_encoded,allergen_risk_encoded,risk_level_encoded,toxicity_level,high_toxicity_flag,toxicity_score_squared,toxicity_score_normalized
10,0.7771514957029331,0.8370423675549176,0.36154406262128513,0.35603449745815596,0.020984152456968483,0.47140452079103173,-0.5773502691896258,0.5278406938004043,0.7771514957029333
35,-1.2062535485450434,-1.361755493484866,-1.147509416145818,-1.5428161556520092,1.3639699097029512,-0.47140452079103173,-0.5773502691896258,-0.876272671705049,-1.2062535485450432
13,0.3194426393380154,1.0369330821948979,0.36154406262128513,-3.4416668087621747,0.020984152456968483,0.47140452079103173,-0.5773502691896258,-0.045436360755076614,0.3194426393380156
1,1.5399995896444625,0.8370423675549176,0.8645618888769862,0.35603449745815596,-1.3220016047890144,1.4142135623730951,1.7320508075688774,1.8156369757728614,1.5399995896444627
37,-1.2062535485450434,-1.5616462081248461,-1.147509416145818,0.35603449745815596,1.3639699097029512,-0.47140452079103173,-0.5773502691896258,-0.876272671705049,-1.2062535485450432
5,1.3874299708561566,-0.9619740642049053,-0.6444915898901169,0.35603449745815596,-1.3220016047890144,1.4142135623730951,1.7320508075688774,1.5248442669403712,1.3874299708561566
24,-0.443405454603514,1.0369330821948979,1.3675797151326872,0.35603449745815596,-0.650508726166023,-0.47140452079103173,-0.5773502691896258,-0.6685635939675559,-0.4434054546035138
14,0.3194426393380154,1.0369330821948979,0.36154406262128513,0.35603449745815596,0.020984152456968483,0.47140452079103173,-0.5773502691896258,-0.045436360755076614,0.3194426393380156
16,0.16687302054970957,0.23737022363497662,-0.1414737636344159,0.35603449745815596,0.020984152456968483,0.47140452079103173,-0.5773502691896258,-0.20329525983557137,0.16687302054970973
36,-1.2062535485450434,-0.5621926349249446,-1.147509416145818,-1.5428161556520092,1.3639699097029512,-0.47140452079103173,-0.5773502691896258,-0.876272671705049,-1.2062535485450432
33,-1.2062535485450434,0.03747950899499631,-1.147509416145818,0.35603449745815596,1.3639699097029512,-0.47140452079103173,-0.5773502691896258,-0.876272671705049,-1.2062535485450432
9,0.929721114491239,-0.762083349564925,-0.6444915898901169,0.35603449745815596,0.020984152456968483,0.47140452079103173,-0.5773502691896258,0.7521664977568968,0.929721114491239
21,-0.2908358358152081,1.0369330821948979,1.3675797151326872,0.35603449745815596,-0.650508726166023,-0.47140452079103173,-0.5773502691896258,-0.577171599763059,-0.290835835815208
22,-0.2908358358152081,1.0369330821948979,1.3675797151326872,0.35603449745815596,-0.650508726166023,-0.47140452079103173,-0.5773502691896258,-0.577171599763059,-0.290835835815208
30,-1.0536839297567375,1.236823796834878,-1.147509416145818,0.35603449745815596,0.6924770310799598,-1.4142135623730951,-0.5773502691896258,-0.8679643085955493,-1.0536839297567375
18,0.014303401761403677,0.23737022363497662,1.3675797151326872,0.35603449745815596,-0.650508726166023,-0.47140452079103173,-0.5773502691896258,-0.34453743269706666,0.01430340176140388
17,0.014303401761403677,0.23737022363497662,-0.1414737636344159,0.35603449745815596,-0.650508726166023,-0.47140452079103173,-0.5773502691896258,-0.34453743269706666,0.01430340176140388
6,1.2348603520678507,0.8370423675549176,-0.6444915898901169,0.35603449745815596,-1.3220016047890144,1.4142135623730951,1.7320508075688774,1.2506682843268804,1.234860352067851
28,-0.5959750733918199,1.0369330821948979,1.3675797151326872,-3.4416668087621747,0.6924770310799598,-1.4142135623730951,-0.5773502691896258,-0.7433388619530534,-0.5959750733918197
31,-1.0536839297567375,1.236823796834878,-1.147509416145818,0.35603449745815596,0.6924770310799598,-1.4142135623730951,-0.5773502691896258,-0.8679643085955493,-1.0536839297567375
26,-0.5959750733918199,-0.36230192028496433,1.3675797151326872,0.35603449745815596,0.6924770310799598,-1.4142135623730951,-0.5773502691896258,-0.7433388619530534,-0.5959750733918197
2,1.5399995896444625,0.23737022363497662,0.8645618888769862,0.35603449745815596,-1.3220016047890144,1.4142135623730951,1.7320508075688774,1.8156369757728614,1.5399995896444627
3,1.3874299708561566,0.23737022363497662,-0.6444915898901169,0.35603449745815596,-1.3220016047890144,1.4142135623730951,1.7320508075688774,1.5248442669403712,1.3874299708561566
7,1.0822907332795448,-1.9614276374048067,-0.6444915898901169,0.35603449745815596,-1.3220016047890144,1.4142135623730951,1.7320508075688774,0.9931090279323889,1.082290733279545
15,0.16687302054970957,-1.7615369227648265,-0.1414737636344159,0.35603449745815596,0.020984152456968483,0.47140452079103173,-0.5773502691896258,-0.20329525983557137,0.16687302054970973
