,toxicity_score_squared,toxicity_score_normalized,toxicity_score,high_toxicity_flag,toxicity_level,risk_level_encoded,allergen_risk_encoded,category_encoded
10,0.5278406938004043,0.7771514957029333,0.7771514957029331,-0.5773502691896258,0.47140452079103173,0.020984152456968483,0.35603449745815596,0.8370423675549176
35,-0.876272671705049,-1.2062535485450432,-1.2062535485450434,-0.5773502691896258,-0.47140452079103173,1.3639699097029512,-1.5428161556520092,-1.361755493484866
13,-0.045436360755076614,0.3194426393380156,0.3194426393380154,-0.5773502691896258,0.47140452079103173,0.020984152456968483,-3.4416668087621747,1.0369330821948979
1,1.8156369757728614,1.5399995896444627,1.5399995896444625,1.7320508075688774,1.4142135623730951,-1.3220016047890144,0.35603449745815596,0.8370423675549176
37,-0.876272671705049,-1.2062535485450432,-1.2062535485450434,-0.5773502691896258,-0.47140452079103173,1.3639699097029512,0.35603449745815596,-1.5616462081248461
5,1.5248442669403712,1.3874299708561566,1.3874299708561566,1.7320508075688774,1.4142135623730951,-1.3220016047890144,0.35603449745815596,-0.9619740642049053
24,-0.6685635939675559,-0.4434054546035138,-0.443405454603514,-0.5773502691896258,-0.47140452079103173,-0.650508726166023,0.35603449745815596,1.0369330821948979
14,-0.045436360755076614,0.3194426393380156,0.3194426393380154,-0.5773502691896258,0.47140452079103173,0.020984152456968483,0.35603449745815596,1.0369330821948979
16,-0.20329525983557137,0.16687302054970973,0.16687302054970957,-0.5773502691896258,0.47140452079103173,0.020984152456968483,0.35603449745815596,0.23737022363497662
36,-0.876272671705049,-1.2062535485450432,-1.2062535485450434,-0.5773502691896258,-0.47140452079103173,1.3639699097029512,-1.5428161556520092,-0.5621926349249446
33,-0.876272671705049,-1.2062535485450432,-1.2062535485450434,-0.5773502691896258,-0.47140452079103173,1.3639699097029512,0.35603449745815596,0.03747950899499631
9,0.7521664977568968,0.929721114491239,0.929721114491239,-0.5773502691896258,0.47140452079103173,0.020984152456968483,0.35603449745815596,-0.762083349564925
21,-0.577171599763059,-0.290835835815208,-0.2908358358152081,-0.5773502691896258,-0.47140452079103173,-0.650508726166023,0.35603449745815596,1.0369330821948979
22,-0.577171599763059,-0.290835835815208,-0.2908358358152081,-0.5773502691896258,-0.47140452079103173,-0.650508726166023,0.35603449745815596,1.0369330821948979
30,-0.8679643085955493,-1.0536839297567375,-1.0536839297567375,-0.5773502691896258,-1.4142135623730951,0.6924770310799598,0.35603449745815596,1.236823796834878
18,-0.34453743269706666,0.01430340176140388,0.014303401761403677,-0.5773502691896258,-0.47140452079103173,-0.650508726166023,0.35603449745815596,0.23737022363497662
17,-0.34453743269706666,0.01430340176140388,0.014303401761403677,-0.5773502691896258,-0.47140452079103173,-0.650508726166023,0.35603449745815596,0.23737022363497662
6,1.2506682843268804,1.234860352067851,1.2348603520678507,1.7320508075688774,1.4142135623730951,-1.3220016047890144,0.35603449745815596,0.8370423675549176
28,-0.7433388619530534,-0.5959750733918197,-0.5959750733918199,-0.5773502691896258,-1.4142135623730951,0.6924770310799598,-3.4416668087621747,1.0369330821948979
31,-0.8679643085955493,-1.0536839297567375,-1.0536839297567375,-0.5773502691896258,-1.4142135623730951,0.6924770310799598,0.35603449745815596,1.236823796834878
26,-0.7433388619530534,-0.5959750733918197,-0.5959750733918199,-0.5773502691896258,-1.4142135623730951,0.6924770310799598,0.35603449745815596,-0.36230192028496433
2,1.8156369757728614,1.5399995896444627,1.5399995896444625,1.7320508075688774,1.4142135623730951,-1.3220016047890144,0.35603449745815596,0.23737022363497662
3,1.5248442669403712,1.3874299708561566,1.3874299708561566,1.7320508075688774,1.4142135623730951,-1.3220016047890144,0.35603449745815596,0.23737022363497662
7,0.9931090279323889,1.082290733279545,1.0822907332795448,1.7320508075688774,1.4142135623730951,-1.3220016047890144,0.35603449745815596,-1.9614276374048067
15,-0.20329525983557137,0.16687302054970973,0.16687302054970957,-0.5773502691896258,0.47140452079103173,0.020984152456968483,0.35603449745815596,-1.7615369227648265
4,1.5248442669403712,1.3874299708561566,1.3874299708561566,1.7320508075688774,1.4142135623730951,-1.3220016047890144,0.35603449745815596,0.23737022363497662
34,-0.876272671705049,-1.2062535485450432,-1.2062535485450434,-0.5773502691896258,-0.47140452079103173,1.3639699097029512,0.35603449745815596,-0.16241120564498399
38,-0.876272671705049,-1.2062535485450432,-1.2062535485450434,-0.5773502691896258,-0.47140452079103173,1.3639699097029512,0.35603449745815596,-1.5616462081248461
0,2.1230464108243514,1.6925692084327684,1.6925692084327684,1.7320508075688774,1.4142135623730951,-1.3220016047890144,0.35603449745815596,-1.5616462081248461
25,-0.7433388619530534,-0.5959750733918197,-0.5959750733918199,-0.5773502691896258,-1.4142135623730951,0.6924770310799598,0.35603449745815596,-1.1618647788448855
39,-0.876272671705049,-1.2062535485450432,-1.2062535485450434,-0.5773502691896258,-0.47140452079103173,1.3639699097029512,0.35603449745815596,0.6371516529149372
29,-0.7433388619530534,-0.5959750733918197,-0.5959750733918199,-0.5773502691896258,-1.4142135623730951,0.6924770310799598,0.35603449745815596,0.43726093827495693
